,lat,long,time,rssi,snr
61,40.2493,-111.6502,2020-03-19T18:32:25.132691503Z,-91,6.5
62,40.250209999999996,-111.6511,2020-03-19T18:33:47.785821739Z,-96,-3.5
63,40.2506,-111.6512,2020-03-19T18:34:31.737959167Z,-101,2.8
64,40.25087,-111.6512,2020-03-19T18:34:53.906075374Z,-99,2.8
65,40.25115,-111.6512,2020-03-19T18:35:29.420016429Z,-95,0.0
66,40.25138,-111.6511,2020-03-19T18:35:38.532432868Z,-97,5.2
67,40.25161,-111.65100000000001,2020-03-19T18:36:09.53186233Z,-87,4.0
68,40.25185,-111.6508,2020-03-19T18:36:19.558103549Z,-90,0.0
69,40.251870000000004,-111.6508,2020-03-19T18:36:23.819498582Z,-90,9.8
70,40.25188,-111.6508,2020-03-19T18:36:28.35839258Z,-95,10.2
71,40.25262,-111.6508,2020-03-19T18:37:21.504030826Z,-91,-4.5
72,40.25285,-111.6507,2020-03-19T18:37:43.7589939Z,-90,0.2
73,40.25315,-111.6505,2020-03-19T18:38:21.854255004Z,-89,4.8
74,40.25346,-111.6504,2020-03-19T18:38:30.921992268Z,-89,8.5
75,40.25554,-111.6513,2020-03-19T18:41:58.445328367Z,-97,6.8
76,40.25667,-111.6468,2020-03-19T18:43:44.795135791Z,-106,-3.0
77,40.24615,-111.6462,2020-03-19T18:47:06.900974777Z,-77,9.5
78,40.246159999999996,-111.6462,2020-03-19T18:47:11.583930132Z,-89,7.0
79,40.246179999999995,-111.6462,2020-03-19T18:47:16.115639093Z,-82,2.8
80,40.24638,-111.6463,2020-03-19T18:47:30.324472743Z,-73,6.8
81,40.24642,-111.6466,2020-03-19T18:47:40.109581798Z,-95,0.2
82,40.24645,-111.6467,2020-03-19T18:47:49.179312727Z,-78,9.2
83,40.24646,-111.6467,2020-03-19T18:47:53.753084977Z,-81,7.0
84,40.24648,-111.647,2020-03-19T18:48:02.040994687Z,-85,4.8
85,40.24648,-111.647,2020-03-19T18:48:06.44500683Z,-79,8.2
86,40.24648,-111.647,2020-03-19T18:48:10.978596253Z,-81,6.5
87,40.24651,-111.6471,2020-03-19T18:48:15.51837648Z,-78,9.2
88,40.246520000000004,-111.6471,2020-03-19T18:48:20.055466019Z,-77,9.0
89,40.24711,-111.6478,2020-03-19T18:50:49.444420445Z,-51,10.2
90,40.24713,-111.6478,2020-03-19T18:50:53.737223947Z,-49,9.2
91,40.24713,-111.6477,2020-03-19T18:50:58.312594784Z,-57,7.2
