lat,long,time,rssi,snr
40.24786,-111.6485,2020-03-11T22:30:05.175943292Z,-70,4.2
40.24786,-111.6485,2020-03-11T22:30:09.851844842Z,-75,8.2
40.24805,-111.6486,2020-03-11T22:30:13.445904704Z,-76,8.8
40.24805,-111.6486,2020-03-11T22:30:18.118061732Z,-90,10.0
40.24806,-111.6486,2020-03-11T22:30:22.648768532Z,-85,-0.5
40.24824,-111.6486,2020-03-11T22:30:31.202384723Z,-84,6.5
40.24828,-111.6486,2020-03-11T22:30:44.990117822Z,-84,9.0
40.24855,-111.6486,2020-03-11T22:30:49.606982341Z,-84,8.2
40.24856,-111.6486,2020-03-11T22:30:53.995411687Z,-80,7.8
40.2486,-111.6486,2020-03-11T22:31:07.818360439Z,-83,2.5
40.24878,-111.6485,2020-03-11T22:31:11.967607561Z,-95,6.0
40.24879,-111.6485,2020-03-11T22:31:16.63675739Z,-78,7.0
40.24882,-111.6485,2020-03-11T22:31:25.852016523Z,-75,8.8
40.24908,-111.6486,2020-03-11T22:31:29.828540596Z,-84,6.5
40.24912,-111.6486,2020-03-11T22:31:43.655710586Z,-89,5.8
40.24932,-111.6487,2020-03-11T22:31:47.842573939Z,-81,5.5
40.24933,-111.6488,2020-03-11T22:31:52.230294062Z,-79,8.8
40.24934,-111.6488,2020-03-11T22:31:56.812015631Z,-88,6.5
40.24935,-111.6488,2020-03-11T22:32:01.486566536Z,-94,8.2
40.24937,-111.6488,2020-03-11T22:32:06.025949121Z,-83,8.5
40.24955,-111.649,2020-03-11T22:32:10.381018976Z,-99,6.5
40.24957,-111.649,2020-03-11T22:32:19.561545473Z,-85,10.5
40.2498,-111.6489,2020-03-11T22:32:28.07166174Z,-79,8.5
40.24981,-111.6489,2020-03-11T22:32:32.859668457Z,-89,7.5
40.24983,-111.6489,2020-03-11T22:32:37.255206336Z,-89,5.8
40.24984,-111.6489,2020-03-11T22:32:42.043722769Z,-87,8.2
40.25008,-111.6489,2020-03-11T22:32:50.449469423Z,-89,7.0
40.2501,-111.6489,2020-03-11T22:32:55.117756624Z,-89,1.8
40.25029,-111.6489,2020-03-11T22:33:25.79125636Z,-89,9.0
40.25031,-111.6489,2020-03-11T22:33:35.011483856Z,-87,9.0
40.25054,-111.6491,2020-03-11T22:33:43.90395753Z,-73,9.8
40.25055,-111.6491,2020-03-11T22:33:48.303446338Z,-78,7.2
40.25056,-111.6491,2020-03-11T22:33:52.874205649Z,-88,-1.8
40.25057,-111.6491,2020-03-11T22:33:57.553696916Z,-81,8.8
40.25058,-111.6491,2020-03-11T22:34:02.125280653Z,-83,10.2
40.25069,-111.6491,2020-03-11T22:34:06.130196255Z,-73,4.0
40.25068,-111.6491,2020-03-11T22:34:10.803891032Z,-76,8.8
40.25069,-111.6492,2020-03-11T22:34:15.341129746Z,-78,9.0
40.25068,-111.6492,2020-03-11T22:34:19.875998883Z,-78,6.0
40.25064,-111.6492,2020-03-11T22:34:23.856262678Z,-77,9.0
40.25064,-111.6492,2020-03-11T22:34:28.421777117Z,-78,9.5
40.25064,-111.6492,2020-03-11T22:34:33.10632635Z,-77,9.5
40.25064,-111.6492,2020-03-11T22:34:37.675342003Z,-79,8.0
40.25066,-111.6492,2020-03-11T22:34:41.651276757Z,-78,9.8
40.25066,-111.6492,2020-03-11T22:34:46.328288043Z,-84,8.5
40.25066,-111.6492,2020-03-11T22:34:50.861188015Z,-78,9.0
40.25066,-111.6492,2020-03-11T22:35:04.196708222Z,-79,4.8
40.25066,-111.6492,2020-03-11T22:35:08.765942483Z,-77,9.2
40.25066,-111.6492,2020-03-11T22:35:13.437814701Z,-75,6.2
40.25066,-111.6492,2020-03-11T22:35:18.013889385Z,-81,9.2
40.25066,-111.6492,2020-03-11T22:35:22.266722096Z,-81,8.2
40.25066,-111.6492,2020-03-11T22:35:26.948237129Z,-79,10.0
40.25066,-111.6492,2020-03-11T22:35:31.480438979Z,-77,6.8
40.25066,-111.6492,2020-03-11T22:35:36.160118052Z,-79,7.2
40.25065,-111.6491,2020-03-11T22:35:40.412404645Z,-76,8.0
40.25066,-111.6491,2020-03-11T22:35:44.957089203Z,-78,8.5
40.25066,-111.6491,2020-03-11T22:35:49.525950951Z,-79,7.0
40.25066,-111.6491,2020-03-11T22:35:54.206968468Z,-78,10.2
40.25068,-111.6492,2020-03-11T22:36:02.928631855Z,-78,9.2
40.25067,-111.6492,2020-03-11T22:36:07.711792414Z,-85,9.0
40.25066,-111.6492,2020-03-11T22:36:12.109895276Z,-76,7.5
40.25066,-111.6492,2020-03-11T22:36:16.780693959Z,-79,9.5
40.25063,-111.6492,2020-03-11T22:36:20.895761464Z,-72,1.8
40.25063,-111.6492,2020-03-11T22:36:25.691469133Z,-79,7.2
40.25063,-111.6492,2020-03-11T22:36:30.084365825Z,-81,3.8
